word,language,lang_code,category,domain,meaning_en,pronunciation,morph_type,x1,x2,x3,x4,x5,x6,x7_hz,x7_norm,x8,x9_re,x9_norm,x10,x11,x11_ord,x12,L,a,b,rationale,flags,x13_accent,x14_contour,x15_meter,x16_regularity
tititi,Swahili,sw,Color,Color/Purity,Underscoring extreme blackness; coal black,ti-ti-ti,ROOT,0.45,0.7,0.5,0.35,0.75,0.35,2800.0,0.333,0.05,1.0,0.474,0.8,0.4,3,#050505,5.0,0.0,0.0,"Reduplicated form mapped to Mass x2=0.7, Hardness x11=0.4, and Luminance x8=0.05.",COMPLETED_AFRICA_A16,4,0.5,1.0,0.9
pepepe,Swahili,sw,Color,Color/Purity,Underscoring extreme whiteness; dazzling white,pe-pe-pe,ROOT,0.8,0.15,0.5,0.35,0.75,0.35,4000.0,0.487,0.95,1.0,0.474,0.8,0.4,3,#FFFFFF,95.0,0.0,0.0,"Reduplicated form mapped to Mass x2=0.15, Hardness x11=0.4, and Luminance x8=0.95.",COMPLETED_AFRICA_A16,4,0.5,1.0,0.9
fofofo,Swahili,sw,State,Psychological/Sleep,"Deeply, soundly, fast asleep (asleep beyond disturbance)",fo-fo-fo,ROOT,0.45,0.15,0.5,0.55,0.9,0.35,2800.0,0.333,0.5,1.0,0.474,0.5,0.15,2,#808080,50.0,0.0,0.0,"Fricative sound, Reduplicated form mapped to Mass x2=0.15, Hardness x11=0.15, and Luminance x8=0.5.",COMPLETED_AFRICA_A16,4,0.5,1.0,0.9
pwepwepwe,Swahili,sw,Motion,Dynamics/Motion,Trembling uncontrollably or shaking with fear,pwe-pwe-pwe,ROOT,0.65,0.4,0.5,0.35,0.75,0.35,4000.0,0.487,0.5,1.0,0.474,0.45,0.4,3,#808080,50.0,0.0,0.0,"Reduplicated form mapped to Mass x2=0.4, Hardness x11=0.4, and Luminance x8=0.5.",COMPLETED_AFRICA_A16,4,0.5,1.0,0.9
ng'o,Swahili,sw,State,Psychological/Refusal,Absolute refusal; not giving even a bit,ng-o,ROOT,0.5,0.4,0.6,0.35,0.3,0.65,2500.0,0.295,0.5,0.25,0.079,0.45,0.4,3,#808080,50.0,0.0,0.0,"Standard phonetic root mapped to Mass x2=0.4, Hardness x11=0.4, and Luminance x8=0.5.",COMPLETED_AFRICA_A16,2,0.5,0.0,0.5
ng'o-ng'o,Swahili,sw,State,Psychological/Refusal,Intensified or continuous aspect of ng'o: absolute refusal; not giving even a bit,ng-o-ng-o,REDUP_2,0.5,0.4,0.5,0.35,0.98,0.65,2500.0,0.295,0.5,1.0,0.474,0.45,0.4,3,#808080,50.0,0.0,0.0,"Reduplicated form mapped to Mass x2=0.4, Hardness x11=0.4, and Luminance x8=0.5.",COMPLETED_AFRICA_A16,4,0.5,1.0,0.9
ng'oka,Swahili,sw,Verb/State,Psychological/Refusal,Stative verb derived from ideophone root ng'o,ng-o-ka,STATIVE_VERB,0.5,0.4,0.5,0.35,0.9,0.65,2500.0,0.295,0.5,1.0,0.474,0.45,0.4,3,#808080,50.0,0.0,0.0,"Reduplicated form mapped to Mass x2=0.4, Hardness x11=0.4, and Luminance x8=0.5.",COMPLETED_AFRICA_A16,4,0.5,1.0,0.9
keche,Swahili,sw,Sound,Sound/Impact,Sound of something snapping or breaking cleanly,ke-che,ROOT,0.8,0.45,0.85,0.1,0.4,0.15,4000.0,0.487,0.5,0.6,0.263,0.8,0.6,3,#808080,50.0,0.0,0.0,"Standard phonetic root mapped to Mass x2=0.45, Hardness x11=0.6, and Luminance x8=0.5.",COMPLETED_AFRICA_A16,1,0.5,0.0,0.5
keche-keche,Swahili,sw,Sound,Sound/Impact,Intensified or continuous aspect of keche: sound of something snapping or breaking cleanly,ke-che-ke-che,REDUP_2,0.8,0.45,0.85,0.1,0.9,0.15,4000.0,0.487,0.5,1.0,0.474,0.8,0.6,3,#808080,50.0,0.0,0.0,"Reduplicated form mapped to Mass x2=0.45, Hardness x11=0.6, and Luminance x8=0.5.",COMPLETED_AFRICA_A16,4,0.5,1.0,0.9
kecheka,Swahili,sw,Verb/State,Sound/Impact,Stative verb derived from ideophone root keche,ke-che-ka,STATIVE_VERB,0.65,0.4,0.5,0.35,0.75,0.35,4000.0,0.487,0.5,1.0,0.474,0.45,0.4,3,#808080,50.0,0.0,0.0,"Reduplicated form mapped to Mass x2=0.4, Hardness x11=0.4, and Luminance x8=0.5.",COMPLETED_AFRICA_A16,4,0.5,1.0,0.9
kechekeche,Swahili,sw,Sound,Sound/Impact,Sound of complete fragmentation or rattling break,ke-che-ke-che,ROOT,0.65,0.7,0.5,0.35,0.75,0.15,4000.0,0.487,0.5,1.0,0.474,0.8,0.85,4,#808080,50.0,0.0,0.0,"Reduplicated form mapped to Mass x2=0.7, Hardness x11=0.85, and Luminance x8=0.5.",COMPLETED_AFRICA_A16,4,0.5,1.0,0.9
tubwi,Swahili,sw,Sound,Sound/Impact,Plunging heavy sound into water; sudden splash,tu-bwi,ROOT,0.8,0.45,0.85,0.35,0.4,0.35,4000.0,0.487,0.5,0.6,0.263,0.8,0.4,3,#808080,50.0,0.0,0.0,"Standard phonetic root mapped to Mass x2=0.45, Hardness x11=0.4, and Luminance x8=0.5.",COMPLETED_AFRICA_A16,1,0.5,0.0,0.5
tubwi-tubwi,Swahili,sw,Sound,Sound/Impact,Intensified or continuous aspect of tubwi: plunging heavy sound into water; sudden splash,tu-bwi-tu-bwi,REDUP_2,0.8,0.45,0.85,0.35,0.9,0.35,4000.0,0.487,0.5,1.0,0.474,0.8,0.4,3,#808080,50.0,0.0,0.0,"Reduplicated form mapped to Mass x2=0.45, Hardness x11=0.4, and Luminance x8=0.5.",COMPLETED_AFRICA_A16,4,0.5,1.0,0.9
tubwika,Swahili,sw,Verb/State,Sound/Impact,Stative verb derived from ideophone root tubwi,tu-bwi-ka,STATIVE_VERB,0.65,0.4,0.5,0.35,0.75,0.35,4000.0,0.487,0.5,1.0,0.474,0.45,0.4,3,#808080,50.0,0.0,0.0,"Reduplicated form mapped to Mass x2=0.4, Hardness x11=0.4, and Luminance x8=0.5.",COMPLETED_AFRICA_A16,4,0.5,1.0,0.9
pukutiku,Swahili,sw,Motion,Dynamics/Motion,Leaves or fruits dropping abundantly all at once,pu-ku-ti-ku,ROOT,0.65,0.4,0.5,0.35,0.75,0.35,4000.0,0.487,0.5,1.0,0.474,0.45,0.4,3,#808080,50.0,0.0,0.0,"Reduplicated form mapped to Mass x2=0.4, Hardness x11=0.4, and Luminance x8=0.5.",COMPLETED_AFRICA_A16,4,0.5,1.0,0.9
mwaa,Swahili,sw,State,Density/Spatial,Spreading far and wide or overflowing completely,mwa-a,ROOT,0.5,0.4,0.6,0.35,0.3,0.35,2500.0,0.295,0.5,0.25,0.079,0.45,0.4,3,#808080,50.0,0.0,0.0,"Standard phonetic root mapped to Mass x2=0.4, Hardness x11=0.4, and Luminance x8=0.5.",COMPLETED_AFRICA_A16,2,0.5,0.0,0.5
mwaa-mwaa,Swahili,sw,State,Density/Spatial,Intensified or continuous aspect of mwaa: spreading far and wide or overflowing completely,mwa-a-mwa-a,REDUP_2,0.5,0.4,0.5,0.35,0.98,0.35,2500.0,0.295,0.5,1.0,0.474,0.45,0.4,3,#808080,50.0,0.0,0.0,"Reduplicated form mapped to Mass x2=0.4, Hardness x11=0.4, and Luminance x8=0.5.",COMPLETED_AFRICA_A16,4,0.5,1.0,0.9
mwaaka,Swahili,sw,Verb/State,Density/Spatial,Stative verb derived from ideophone root mwaa,mwa-a-ka,STATIVE_VERB,0.5,0.4,0.5,0.35,0.9,0.35,2500.0,0.295,0.5,1.0,0.474,0.45,0.4,3,#808080,50.0,0.0,0.0,"Reduplicated form mapped to Mass x2=0.4, Hardness x11=0.4, and Luminance x8=0.5.",COMPLETED_AFRICA_A16,4,0.5,1.0,0.9
fyuu,Swahili,sw,Motion,Speed/Rhythm,Whistling past rapidly; swift darting motion,fyu-u,ROOT,0.65,0.15,0.95,0.55,0.15,0.35,4000.0,0.487,0.5,0.25,0.079,0.8,0.4,3,#808080,50.0,0.0,0.0,"Fricative sound mapped to Mass x2=0.15, Hardness x11=0.4, and Luminance x8=0.5.",COMPLETED_AFRICA_A16,1,0.5,0.0,0.5
