word,language,lang_code,category,domain,x1,x2,x3,x4,x5,x6,x7_hz,x7_norm,x8,x9_re,x9_norm,x10,x11,x11_ord,x12,L,a,b,x13_accent,x14_contour,x15_meter,x16_regularity,morph_type
tititi,Swahili,sw,Color,Color/Purity,0.45,0.7,0.5,0.35,0.75,0.35,2800.0,0.333,0.05,1.0,0.474,0.8,0.4,3,#050505,5.0,0.0,0.0,4,0.5,1.0,0.9,ROOT
pepepe,Swahili,sw,Color,Color/Purity,0.8,0.15,0.5,0.35,0.75,0.35,4000.0,0.487,0.95,1.0,0.474,0.8,0.4,3,#FFFFFF,95.0,0.0,0.0,4,0.5,1.0,0.9,ROOT
fofofo,Swahili,sw,State,Psychological/Sleep,0.45,0.15,0.5,0.55,0.9,0.35,2800.0,0.333,0.5,1.0,0.474,0.5,0.15,2,#808080,50.0,0.0,0.0,4,0.5,1.0,0.9,ROOT
pwepwepwe,Swahili,sw,Motion,Dynamics/Motion,0.65,0.4,0.5,0.35,0.75,0.35,4000.0,0.487,0.5,1.0,0.474,0.45,0.4,3,#808080,50.0,0.0,0.0,4,0.5,1.0,0.9,ROOT
ng'o,Swahili,sw,State,Psychological/Refusal,0.5,0.4,0.6,0.35,0.3,0.65,2500.0,0.295,0.5,0.25,0.079,0.45,0.4,3,#808080,50.0,0.0,0.0,2,0.5,0.0,0.5,ROOT
ng'o-ng'o,Swahili,sw,State,Psychological/Refusal,0.5,0.4,0.5,0.35,0.98,0.65,2500.0,0.295,0.5,1.0,0.474,0.45,0.4,3,#808080,50.0,0.0,0.0,4,0.5,1.0,0.9,REDUP_2
ng'oka,Swahili,sw,Verb/State,Psychological/Refusal,0.5,0.4,0.5,0.35,0.9,0.65,2500.0,0.295,0.5,1.0,0.474,0.45,0.4,3,#808080,50.0,0.0,0.0,4,0.5,1.0,0.9,STATIVE_VERB
keche,Swahili,sw,Sound,Sound/Impact,0.8,0.45,0.85,0.1,0.4,0.15,4000.0,0.487,0.5,0.6,0.263,0.8,0.6,3,#808080,50.0,0.0,0.0,1,0.5,0.0,0.5,ROOT
keche-keche,Swahili,sw,Sound,Sound/Impact,0.8,0.45,0.85,0.1,0.9,0.15,4000.0,0.487,0.5,1.0,0.474,0.8,0.6,3,#808080,50.0,0.0,0.0,4,0.5,1.0,0.9,REDUP_2
kecheka,Swahili,sw,Verb/State,Sound/Impact,0.65,0.4,0.5,0.35,0.75,0.35,4000.0,0.487,0.5,1.0,0.474,0.45,0.4,3,#808080,50.0,0.0,0.0,4,0.5,1.0,0.9,STATIVE_VERB
