word,pronunciation_romaji,meaning_en,category,domain,polarity,intensity,tone,morphology,ipa_clean,x1,x2,x3,x4,x5,x6,x7_hz,x7_norm,x8,x9_re,x9_norm,x10,x11,x11_ord,x12,L,a,b,rationale,flags,x13_accent,x14_contour,x15_meter,x16_regularity,morph_type
あたふた,atafuta,"State of being panicked, flustered, or in a hurry.",Psychomime (State/Manner),"Dynamics, Speed/Tempo",Negative,Unvoiced (Light),Dark/Heavy/Large,Reduplication,ataɸuta,2,8,3,6,7,3,440.0,3.75,7,4500.0,6.47,2,mc,3,#FFD700,86.9,-1.9,87.1,"Reflecting unvoiced plosives and fricatives for a vector configuration of Weight 2, Time 8, and Flow 6.",,5,5,5,8,COMPOUND(複合・異種)
あっ,at,Manner or sound of あっ: 声門閉鎖音による極端なTime 9とDecay 9。高いBo値を示す。,Phonomime (Voice),Emotion,Neutral,Semi-voiced (Crisp),Bright/Light/Small,Geminate (促音/Sokuon),aʔ,6,9,9,8,2,1,350.0,3.17,9,8000.0,7.44,9,0,4,#FF0000,53.2,80.1,67.2,"Reflecting geminate sokuon (sudden onset) for a vector configuration of Weight 6, Time 9, and Flow 8.",,2,5,0,0,Q(促音単発)
あっさり,atsari,"Light, refreshing, straightforward, or without lingering attached feelings.",Psychomime (State/Manner),"Texture, Taste",Positive,Unvoiced (Light),Bright/Light/Small,-ri Ending,assaɾi,2,7,8,1,8,5,520.0,4.17,6,1200.0,4.22,3,c,2,#F0FFFF,98.9,-4.9,-1.7,"Reflecting fricatives and flap consonant /ɾ/ for a vector configuration of Weight 2, Time 7, and Flow 1.",,5,5,5,8,COMPOUND(複合・異種)
あっぷあっぷ,atpuatpu,"Flail, struggle for breath in water, or suffer in distress.",Psychomime (State/Manner),"Dynamics, Human Body/Physiology",Negative,Unvoiced (Light),Dark/Heavy/Large,Reduplication,appuappu,5,6,4,7,6,9,220.0,2.0,5,3000.0,5.78,8,mc,3,#4169E1,47.8,26.3,-65.3,"Reflecting unvoiced plosives and geminate sokuon (sudden onset) for a vector configuration of Weight 5, Time 6, and Flow 7.",,4,5,6,1,REDUP(畳語・同一)
あはは,ahaha,"Loud, bright, or cheerful laughter.",Phonomime (Voice),Emotion,Positive,Unvoiced (Light),Bright/Light/Small,Reduplication,ahaha,1,5,2,0,9,6,480.0,3.97,2,500.0,2.73,1,h,6,#FFFF00,97.1,-21.6,94.5,"Reflecting fricatives for a vector configuration of Weight 1, Time 5, and Flow 0.",,3,5,0,0,OTHER(単発)
あぶあぶ,abuabu,Babbling sound of a baby or gasping underwater.,Phonomime (Voice),Living Beings,Positive,Unvoiced (Light),Bright/Light/Small,Reduplication,abuabu,4,5,4,6,7,8,180.0,1.49,4,2500.0,5.47,7,mc,3,#ADD8E6,83.8,-10.9,-11.5,"Reflecting voiced consonants for a vector configuration of Weight 4, Time 5, and Flow 6.",,4,5,6,1,REDUP(畳語・同一)
あんぐり,anguri,Gaping mouth open in astonishment or amazement.,Psychomime (State/Manner),Emotion,Neutral,Unvoiced (Light),Dark/Heavy/Large,-ri Ending,aŋɡuɾi,5,4,8,3,4,4,150.0,1.03,6,800.0,3.53,6,0,4,#FFA500,74.9,23.9,78.9,"Reflecting voiced consonants and nasal resonance for a vector configuration of Weight 5, Time 4, and Flow 3.",,5,5,5,8,COMPOUND(複合・異種)
あんあん,anan,"Crying softly, whimpering, or weeping in a pampered manner.",Phonomime (Voice),Emotion,Negative,Unvoiced (Light),Bright/Light/Small,Reduplication,aŋaŋ,3,3,2,5,8,7,320.0,2.94,2,400.0,2.35,3,hh,7,#FF69B4,65.5,64.2,-10.6,"Reflecting nasal resonance for a vector configuration of Weight 3, Time 3, and Flow 5.",,4,5,6,1,REDUP(畳語・同一)
あーあ,a-a,Sighing or expressing regret/disappointment with a long sound.,Phonomime (Voice),Emotion,Negative,Unvoiced (Light),Bright/Light/Small,Long Vowel,aːa,2,1,1,2,9,4,280.0,2.61,0,200.0,1.18,1,mc,3,#BEBEBE,77.0,-0.0,0.0,"Reflecting long vowel extension for a vector configuration of Weight 2, Time 1, and Flow 2.",,2,7,7,1,LONG(長音ー)
あーん,a-n,Child crying loudly or opening mouth wide.,Phonomime (Voice),Emotion,Negative,Unvoiced (Light),Bright/Light/Small,Long Vowel,aːŋ,3,2,6,3,7,5,250.0,2.32,1,300.0,1.87,2,h,6,#FFDAB9,89.4,8.1,21.0,"Reflecting nasal resonance and long vowel extension for a vector configuration of Weight 3, Time 2, and Flow 3.",,3,8,5,1,LONG+N(長音+ん)
