word,pronunciation_romaji,cat_bit,dom_bit,pol_code,int_bit,tone_code,morph_bit,ipa_clean,x1,x2,x3,x4,x5,x6,x7_hz,x7_norm,x8,x9_re,x9_norm,x10,x11,x11_ord,x12,L,a,b,x13_accent,x14_contour,x15_meter,x16_regularity,morph_type
あたふた,atafuta,4,10,2,1,2,1,ataɸuta,2,8,3,6,7,3,440.0,3.75,7,4500.0,6.47,2,mc,3,#FFD700,86.9,-1.9,87.1,5,5,5,8,COMPOUND(複合・異種)
あっ,at,1,2048,0,4,1,2,aʔ,6,9,9,8,2,1,350.0,3.17,9,8000.0,7.44,9,0,4,#FF0000,53.2,80.1,67.2,2,5,0,0,Q(促音単発)
あっさり,atsari,4,257,1,1,1,8,assaɾi,2,7,8,1,8,5,520.0,4.17,6,1200.0,4.22,3,c,2,#F0FFFF,98.9,-4.9,-1.7,5,5,5,8,COMPOUND(複合・異種)
あっぷあっぷ,atpuatpu,4,16386,2,1,2,1,appuappu,5,6,4,7,6,9,220.0,2.0,5,3000.0,5.78,8,mc,3,#4169E1,47.8,26.3,-65.3,4,5,6,1,REDUP(畳語・同一)
あはは,ahaha,1,2048,1,1,1,1,ahaha,1,5,2,0,9,6,480.0,3.97,2,500.0,2.73,1,h,6,#FFFF00,97.1,-21.6,94.5,3,5,0,0,OTHER(単発)
あぶあぶ,abuabu,1,8192,1,1,1,1,abuabu,4,5,4,6,7,8,180.0,1.49,4,2500.0,5.47,7,mc,3,#ADD8E6,83.8,-10.9,-11.5,4,5,6,1,REDUP(畳語・同一)
あんぐり,anguri,4,2048,0,1,2,8,aŋɡuɾi,5,4,8,3,4,4,150.0,1.03,6,800.0,3.53,6,0,4,#FFA500,74.9,23.9,78.9,5,5,5,8,COMPOUND(複合・異種)
あんあん,anan,1,2048,2,1,1,1,aŋaŋ,3,3,2,5,8,7,320.0,2.94,2,400.0,2.35,3,hh,7,#FF69B4,65.5,64.2,-10.6,4,5,6,1,REDUP(畳語・同一)
あーあ,a-a,1,2048,2,1,1,16,aːa,2,1,1,2,9,4,280.0,2.61,0,200.0,1.18,1,mc,3,#BEBEBE,77.0,-0.0,0.0,2,7,7,1,LONG(長音ー)
あーん,a-n,1,2048,2,1,1,16,aːŋ,3,2,6,3,7,5,250.0,2.32,1,300.0,1.87,2,h,6,#FFDAB9,89.4,8.1,21.0,3,8,5,1,LONG+N(長音+ん)
