word,cat_bit,dom_bit,pol_code,int_bit,tone_code,morph_bit,x1,x2,x3,x4,x5,x6,x7_hz,x7_norm,x8,x9_re,x9_norm,x10,x11,x11_ord,x12,L,a,b,x13_accent,x14_contour,x15_meter,x16_regularity,morph_type
쿵,2,514,0,1,2,2,8,8,7,5,2,8,210.0,1.88,5,8500.0,7.55,3,0,4,#800000,25.5,48.0,38.1,5,5,0,0,SINGLE(단음절)
쾅,2,514,2,2,1,2,8,8,7,5,2,5,210.0,1.88,5,8500.0,7.55,8,0,4,#FF0000,53.2,80.1,67.2,5,5,0,0,SINGLE(단음절)
쿵쾅쿵쾅,2,2050,0,1,2,1,8,4,7,5,2,5,210.0,1.88,4,8500.0,7.55,3,0,4,#800000,25.5,48.0,38.1,5,5,5,1,REDUP(첩어・동일)
우당탕,2,514,2,1,1,1,8,5,7,5,2,8,210.0,1.88,5,8500.0,7.55,3,0,4,#4B3621,24.5,6.4,16.8,5,5,5,8,COMPOUND(복합・이종)
우당탕탕,2,514,2,1,1,1,8,5,7,5,2,5,210.0,1.88,5,8500.0,7.55,3,0,4,#4B3621,24.5,6.4,16.8,5,5,5,8,COMPOUND(복합・이종)
와르르,4,514,2,1,1,16,8,5,4,5,3,8,210.0,1.88,5,8500.0,7.55,3,0,4,#4B3621,24.5,6.4,16.8,5,5,0,0,SUFFIX(어미변화)
드르륵,2,2,0,1,2,2,8,8,4,5,3,8,210.0,1.88,8,8500.0,7.55,3,0,4,#800000,25.5,48.0,38.1,5,5,5,8,COMPOUND(복합・이종)
드르렁,1,16384,0,1,2,16,8,5,4,5,3,5,210.0,1.88,5,8500.0,7.55,3,0,4,#800000,25.5,48.0,38.1,5,5,5,8,COMPOUND(복합・이종)
쿨쿨,1,16384,1,2,2,1,7,5,7,2,2,3,240.0,2.22,5,8500.0,7.55,6,0,4,#800000,25.5,48.0,38.1,5,5,5,8,COMPOUND(복합・이종)
똑똑,2,8,0,4,2,1,5,8,7,7,2,3,300.0,2.78,8,4500.0,6.47,3,0,4,#708090,52.8,-2.1,-10.6,5,5,5,8,COMPOUND(복합・이종)
딱딱,4,1,0,4,1,1,3,8,7,7,2,8,1500.0,6.86,8,4500.0,6.47,3,0,4,#4682B4,52.5,-4.1,-32.2,5,5,5,8,COMPOUND(복합・이종)
뚝뚝,4,2,0,4,2,1,7,8,7,7,2,8,240.0,2.22,8,8500.0,7.55,3,0,4,#800000,25.5,48.0,38.1,5,5,5,8,COMPOUND(복합・이종)
똑딱똑딱,2,8,0,4,1,1,3,8,7,7,2,3,1500.0,6.86,8,4500.0,6.47,3,0,4,#708090,52.8,-2.1,-10.6,5,5,5,1,REDUP(첩어・동일)
딸랑딸랑,2,2,1,4,1,1,1,4,7,2,2,5,2100.0,7.71,4,4500.0,6.47,3,0,4,#708090,52.8,-2.1,-10.6,5,5,5,1,REDUP(첩어・동일)
탈랑탈랑,2,2,1,2,1,1,1,4,7,2,2,5,2100.0,7.71,4,4500.0,6.47,3,0,4,#708090,52.8,-2.1,-10.6,5,5,5,1,REDUP(첩어・동일)
달랑달랑,2,2,1,1,1,1,1,4,4,2,3,5,2100.0,7.71,4,4500.0,6.47,3,0,4,#708090,52.8,-2.1,-10.6,5,5,5,1,REDUP(첩어・동일)
덜컥,2,2048,2,1,2,2,7,8,7,2,2,3,240.0,2.22,8,8500.0,7.55,3,0,4,#800000,25.5,48.0,38.1,5,5,5,8,COMPOUND(복합・이종)
덜컹덜컹,2,2,0,1,2,1,7,4,7,2,2,5,240.0,2.22,4,8500.0,7.55,3,hh,7,#FF0000,53.2,80.1,67.2,5,5,5,1,REDUP(첩어・동일)
칙칙폭폭,2,8,1,2,2,1,3,8,7,5,2,3,360.0,3.24,8,4500.0,6.47,3,0,4,#708090,52.8,-2.1,-10.6,5,5,5,8,COMPOUND(복합・이종)
띠띠빵빵,2,8,1,4,1,1,3,5,7,7,2,5,1500.0,6.86,5,4500.0,6.47,3,0,4,#708090,52.8,-2.1,-10.6,5,5,5,8,COMPOUND(복합・이종)
부르릉,2,2,0,1,2,16,8,5,4,5,3,5,210.0,1.88,5,8500.0,7.55,3,0,4,#800000,25.5,48.0,38.1,5,5,5,8,COMPOUND(복합・이종)
찰칵,2,8,1,2,1,2,3,8,7,2,2,3,1500.0,6.86,8,4500.0,6.47,3,0,4,#708090,52.8,-2.1,-10.6,5,5,5,8,COMPOUND(복합・이종)
