word,meaning,category,domain,polarity,intensity,tone,morphology,ipa_original,ipa_clean,ipa_changed,x1,x2,x3,x4,x5,x6,x7_hz,x7_norm,x8,x9_re,x9_norm,x10,x11,x11_ord,x12,L,a,b,rationale,flags,x13_accent,x14_contour,x15_meter,x16_regularity,morph_type
あたふた,慌てふためく様子、大急ぎで落ち着かないさま。,擬態語,スピード・テンポ,中立,清音,明るい・軽い・小,単発・その他,ataɸuta,ataɸuta,0,2,8,3,6,7,3,440.0,3.75,7,4500.0,6.47,2,mc,3,#FFD700,86.9,-1.9,87.1,無声破裂音/t/の連続による時間的突発性と、流動的な身体運動(Flow 6)。Reは中程度。,,5,5,5,8,COMPOUND(複合・異種)
あっ,声門閉鎖音による極端なTime 9とDecay 9。高いBo値を示す。,擬声語・擬音語,その他,中立,清音,明るい・軽い・小,促音,aʔ,aʔ,0,6,9,9,8,2,1,350.0,3.17,9,8000.0,7.44,9,0,4,#FF0000,53.2,80.1,67.2,声門閉鎖音による極端なTime 9とDecay 9。高いBo値（圧縮性）を示す。,,2,5,0,0,Q(促音単発)
あっさり,さっぱりしていて執着がない様子、風味や風情が淡泊なさま。,擬音語・擬態語,テクスチャー・関係性・味・気象・自然,快,清音,明るい・軽い・小,促音・「り」変化,assaɾi,assaɾi,0,2,7,8,1,8,5,520.0,4.17,6,1200.0,4.22,3,c,2,#F0FFFF,98.9,-4.9,-1.7,摩擦音/s/による流体性と、弾き音/ɾi/による離脱。低いWeight。,,5,5,5,8,COMPOUND(複合・異種)
あっぷあっぷ,水に溺れてもがく様子、苦境にあえぐさま。,擬音語・擬態語,気象・自然,不快,清音・半濁音,明るい・軽い・小,畳語・促音,appuappu,appuappu,0,5,6,4,7,6,9,220.0,2.0,5,3000.0,5.78,8,mc,3,#4169E1,47.8,26.3,-65.3,両唇破裂音/p/の反復と半母音による粘性。水没・窒息の物理現象を反映。,,4,5,6,1,REDUP(畳語・同一)
あはは,声をあげて明るく笑う声。,擬声語,その他,中立,清音,明るい・軽い・小,単発・その他,ahaha,ahaha,0,1,5,2,0,9,6,480.0,3.97,2,500.0,2.73,1,h,6,#FFFF00,97.1,-21.6,94.5,摩擦音/h/の連続による自由なFlow。開放的な空間性と高い温度感。,,3,5,0,0,OTHER(単発)
あぶあぶ,赤ちゃんが発する声、または水中で喘ぐ音。,擬声語・擬音語,気象・自然・人体・生理,中立,清音・濁音,暗い・重い・大,畳語,abuabu,abuabu,0,4,5,4,6,7,8,180.0,1.49,4,2500.0,5.47,7,mc,3,#ADD8E6,83.8,-10.9,-11.5,有声破裂音/b/による低周波と、気泡特性（Bo 7）の強い流体感。,,4,5,6,1,REDUP(畳語・同一)
あんぐり,口を大きく開けて呆れ果てる様子。,擬声語・擬態語,人体・生理,中立,清音・濁音,暗い・重い・大,撥音・「り」変化,aŋɡuɾi,aŋɡuɾi,0,5,4,8,3,4,4,150.0,1.03,6,800.0,3.53,6,0,4,#FFA500,74.9,23.9,78.9,鼻音/ŋ/による軟口蓋の開放と、顎の重力落下。空間的直接性。,,5,5,5,8,COMPOUND(複合・異種)
あんあん,声を忍ばせたり甘えたりして泣く声。,擬声語,その他,不快,清音,明るい・軽い・小,畳語・撥音,aŋaŋ,aŋaŋ,0,3,3,2,5,8,7,320.0,2.94,2,400.0,2.35,3,hh,7,#FF69B4,65.5,64.2,-10.6,鼻音の共鳴による高いMoistureと持続性。Reは低く層流に近い。,,4,5,6,1,REDUP(畳語・同一)
あーあ,長母音によるTime 1の持続。エネルギ散逸に伴う低彩度。,擬音語,ダイナミクス・スピード・テンポ・色・光,中立,清音,明るい・軽い・小,長音,a:a,aːa,0,2,1,1,2,9,4,280.0,2.61,0,200.0,1.18,1,mc,3,#BEBEBE,77.0,-0.0,0.0,長母音によるTime 1の持続。エネルギ散逸に伴う低彩度(Color)。,,2,7,7,1,LONG(長音ー)
あーん,子供などが声を張り上げて泣く声、または口を大きく開ける様子。,擬声語・擬態語,人体・生理,不快,清音,明るい・軽い・小,撥音・長音,a:n,aːŋ,1,3,2,6,3,7,5,250.0,2.32,1,300.0,1.87,2,h,6,#FFDAB9,89.4,8.1,21.0,口腔開放から鼻腔閉鎖への移行。指向性（Space 6）を持つ。,,3,8,5,1,LONG+N(長音+ん)
